time [ms],value [mm]
3500,0.15061462
3505,0.15055290
3510,0.15053836
3515,0.15059124
3520,0.15055119
3525,0.15053265
3530,0.15056957
3535,0.15121207
3540,0.15058568
3545,0.15059851
3550,0.15053893
3555,0.15061990
3560,0.15052153
3565,0.15055404
3570,0.15056829
3575,0.15060379
3580,0.15053137
3585,0.15062089
3590,0.15048233
3595,0.15058240
3600,0.15058012
3605,0.15058796
3610,0.15064484
3615,0.15059096
3620,0.15054320
3625,0.15055475
3630,0.15054563
3635,0.15051098
3640,0.15056758
3645,0.15057656
3650,0.15054691
3655,0.15055404
3660,0.15058369
3665,0.15063230
3670,0.15060550
3675,0.15058597
3680,0.15058668
3685,0.15057685
3690,0.15058796
3695,0.15060350
3700,0.15062318
3705,0.15056615
3710,0.15060279
3715,0.15063401
3720,0.15056501
3725,0.15065283
3730,0.15066494
3735,0.15069987
3740,0.15060108
3745,0.15064655
3750,0.15052610
3755,0.15055703
3760,0.15068633
3765,0.15070643
3770,0.15060735
3775,0.15067649
3780,0.15070643
3785,0.15065539
3790,0.15059623
3795,0.15057713
3800,0.15063643
3805,0.15061134
3810,0.15054805
3815,0.15067877
3820,0.15055475
3825,0.15053237
3830,0.15065767
3835,0.15059780
3840,0.15066822
3845,0.15061277
3850,0.15062617
3855,0.15073936
3860,0.15073579
3865,0.15060550
3870,0.15066723
3875,0.15057100
3880,0.15064827
3885,0.15056687
3890,0.15066494
3895,0.15057186
3900,0.15069531
3905,0.15059780
3910,0.15069959
3915,0.15072325
3920,0.15077086
3925,0.15070614
3930,0.15064071
3935,0.15081634
3940,0.15074036
3945,0.15072952
3950,0.15066566
3955,0.15058953
3960,0.15071969
3965,0.15067450
3970,0.15064100
3975,0.15081377
3980,0.15075019
3985,0.15075247
3990,0.15070971
3995,0.15064841
4000,0.15076502
4005,0.15070415
4010,0.15082817
4015,0.15066466
4020,0.15080194
4025,0.15072981
4030,0.15083302
4035,0.15076530
4040,0.15066010
4045,0.15082062
4050,0.15068904
4055,0.15081434
4060,0.15077058
4065,0.15083302
4070,0.15073608
4075,0.15077129
4080,0.15077443
4085,0.15072810
4090,0.15083188
4095,0.15074093
4100,0.15082717
4105,0.15066537
4110,0.15084200
4115,0.15084485
4120,0.15071527
4125,0.15078441
4130,0.15065211
4135,0.15083544
4140,0.15073736
4145,0.15088305
4150,0.15080023
4155,0.15076131
